32.464	13.913	32.464	9.275	27.826	4.638	4.638	4.638	9.275	27.826	4.638	4.638	13.913	4.638	0	4.638	9.275	4.638	9.275	4.638	4.638	4.638	0	
37.102	46.377	27.826	23.188	27.826	18.551	18.551	9.275	51.015	23.188	27.826	18.551	13.913	13.913	37.102	23.188	18.551	27.826	13.913	23.188	27.826	4.638	0	13.913
3691.6	5398.269	5593.052	5922.328	5263.776	5565.226	3904.933	2587.83	537.972	343.189	389.566	5875.951	4957.688	6168.125	4563.485	4915.949	6191.313	4586.674	4039.426	3417.976	788.407	32.464	5375.081	4920.587
5829.574	6061.458	5597.689	5741.458	5453.921	5268.414	4911.312	2583.192	473.044	347.827	282.899	6001.168	5286.964	5704.356	4744.355	4433.63	4976.239	4892.761	4048.702	2903.193	9.275	13.913	5166.385	4772.181
5068.993	5755.371	4660.876	4693.34	5657.979	5639.429	4113.629	2648.12	551.885	301.45	357.102	5639.429	5922.328	5630.153	6047.545	5157.109	5495.661	4605.224	4711.891	3311.309	1075.944	27.826	6381.459	4721.167
5815.661	6191.313	5203.486	5184.936	5398.269	5982.618	4637.688	2536.815	491.595	264.348	231.884	5773.922	5463.197	2151.887	1887.539	2230.728	2100.873	1882.901	1637.104	1414.495	37.102	27.826	4874.21	4090.441
5834.212	6015.082	5644.066	5787.835	5945.516	5245.225	4122.905	1901.452	556.523	338.551	241.16	5806.386	4656.239	2156.525	1868.988	1998.844	2300.293	1882.901	1651.017	1266.089	32.464	13.913	4966.964	4178.557
5249.863	6478.851	5537.4	5430.733	5857.4	5393.631	4517.108	2346.67	482.32	245.797	324.638	6228.415	5606.965	2165.8	1822.611	2040.583	1980.293	2063.771	1451.596	1298.553	4.638	32.464	5064.355	4317.687
5829.574	6144.937	6214.502	5899.139	6019.719	5143.196	5569.863	5514.211	4526.384	3571.02	125.218	5885.226	6112.473	3000.584	2662.033	2745.511	2898.555	2560.004	2300.293	1813.336	27.826	23.188	5375.081	4656.239
5722.907	6209.864	4517.108	5852.763	5644.066	5504.936	6302.618	5458.559	4373.34	4377.978	3705.513	5899.139	5569.863	4257.398	2717.685	2675.946	2620.294	2448.699	3088.7	2059.134	153.044	27.826	5889.864	4526.384
6311.894	6242.328	5611.603	5398.269	5727.545	5537.4	5806.386	5370.443	4572.761	2819.714	389.566	6418.561	5871.313	4735.08	3135.077	3148.99	2842.903	3125.802	2504.352	2471.888	18.551	60.29	4823.196	5648.704
6019.719	5532.762	5504.936	5945.516	5282.327	5569.863	5398.269	4985.515	4735.08	4373.34	245.797	5899.139	6469.575	5940.878	5328.704	4855.66	5296.24	5008.703	5147.834	4855.66	5820.299	5106.095	4568.123	4364.064
6001.168	5495.661	6219.14	5773.922	5871.313	5797.11	6205.227	5824.937	4730.442	4646.963	899.711	5950.154	7077.112	5722.907	4971.602	5620.878	5760.009	6209.864	4971.602	6126.386	5222.037	5880.588	5639.429	5337.979
6316.531	6566.966	5152.472	6604.068	5124.646	5769.284	5068.993	5129.283	4735.08	4688.703	616.812	7471.315	5945.516	5639.429	5235.95	5328.704	6195.951	4892.761	5412.182	4628.413	4915.949	4906.674	5611.603	4517.108
27.826	32.464	32.464	18.551	32.464	27.826	18.551	13.913	18.551	27.826	23.188	32.464	23.188	18.551	18.551	13.913	23.188	4.638	23.188	27.826	41.739	13.913	18.551	4.638
4.638	27.826	13.913	13.913	9.275	9.275	13.913	23.188	4.638	13.913	18.551	0	13.913	9.275	9.275	4.638	4.638	9.275	4.638	37.102	4.638	18.551	18.551	4.638
